,t1,t2,t12,A Drug Count,B Drug Count,AB Drug Count,filename,tmax
0,bevacizumab,capecitabine,"bevacizumab, capecitabine",1,1,2,bevacizumab + capecitabine.csv,64.5
1,"bevacizumab, capecitabine","fluorouracil, irinotecan, leucovorin","bevacizumab, capecitabine, fluorouracil, irinotecan, leucovorin",2,3,5,"bevacizumab, capecitabine + fluorouracil, irinotecan, leucovorin.csv",45.7
2,"bevacizumab, capecitabine, irinotecan","fluorouracil, leucovorin","bevacizumab, capecitabine, fluorouracil, irinotecan, leucovorin",3,2,5,"bevacizumab, capecitabine, irinotecan + fluorouracil, leucovorin.csv",45.7
3,"bevacizumab, fluorouracil, irinotecan, leucovorin",capecitabine,"bevacizumab, capecitabine, fluorouracil, irinotecan, leucovorin",4,1,5,"bevacizumab, fluorouracil, irinotecan, leucovorin + capecitabine.csv",45.7
4,bevacizumab,"capecitabine, fluorouracil, leucovorin, oxaliplatin","bevacizumab, capecitabine, fluorouracil, leucovorin, oxaliplatin",1,4,5,"bevacizumab + capecitabine, fluorouracil, leucovorin, oxaliplatin.csv",72.53333333333333
5,"bevacizumab, capecitabine","fluorouracil, leucovorin, oxaliplatin","bevacizumab, capecitabine, fluorouracil, leucovorin, oxaliplatin",2,3,5,"bevacizumab, capecitabine + fluorouracil, leucovorin, oxaliplatin.csv",64.5
6,"bevacizumab, capecitabine, oxaliplatin","fluorouracil, leucovorin","bevacizumab, capecitabine, fluorouracil, leucovorin, oxaliplatin",3,2,5,"bevacizumab, capecitabine, oxaliplatin + fluorouracil, leucovorin.csv",47.5
7,"bevacizumab, fluorouracil, leucovorin","capecitabine, oxaliplatin","bevacizumab, capecitabine, fluorouracil, leucovorin, oxaliplatin",3,2,5,"bevacizumab, fluorouracil, leucovorin + capecitabine, oxaliplatin.csv",72.53333333333333
8,"bevacizumab, fluorouracil, leucovorin, oxaliplatin",capecitabine,"bevacizumab, capecitabine, fluorouracil, leucovorin, oxaliplatin",4,1,5,"bevacizumab, fluorouracil, leucovorin, oxaliplatin + capecitabine.csv",72.53333333333333
9,"bevacizumab, capecitabine",irinotecan,"bevacizumab, capecitabine, irinotecan",2,1,3,"bevacizumab, capecitabine + irinotecan.csv",64.5
10,"bevacizumab, irinotecan",capecitabine,"bevacizumab, capecitabine, irinotecan",2,1,3,"bevacizumab, irinotecan + capecitabine.csv",41.9
11,bevacizumab,"capecitabine, oxaliplatin","bevacizumab, capecitabine, oxaliplatin",1,2,3,"bevacizumab + capecitabine, oxaliplatin.csv",47.5
12,"bevacizumab, irinotecan",fluorouracil,"bevacizumab, fluorouracil, irinotecan",2,1,3,"bevacizumab, irinotecan + fluorouracil.csv",41.9
13,bevacizumab,"fluorouracil, irinotecan, leucovorin","bevacizumab, fluorouracil, irinotecan, leucovorin",1,3,4,"bevacizumab + fluorouracil, irinotecan, leucovorin.csv",81.36666666666666
14,"bevacizumab, irinotecan","fluorouracil, leucovorin","bevacizumab, fluorouracil, irinotecan, leucovorin",2,2,4,"bevacizumab, irinotecan + fluorouracil, leucovorin.csv",41.9
15,"bevacizumab, fluorouracil, leucovorin",irinotecan,"bevacizumab, fluorouracil, irinotecan, leucovorin",3,1,4,"bevacizumab, fluorouracil, leucovorin + irinotecan.csv",84.16666666666667
16,bevacizumab,"fluorouracil, irinotecan, leucovorin, oxaliplatin","bevacizumab, fluorouracil, irinotecan, leucovorin, oxaliplatin",1,4,5,"bevacizumab + fluorouracil, irinotecan, leucovorin, oxaliplatin.csv",42.1
17,"bevacizumab, irinotecan","fluorouracil, leucovorin, oxaliplatin","bevacizumab, fluorouracil, irinotecan, leucovorin, oxaliplatin",2,3,5,"bevacizumab, irinotecan + fluorouracil, leucovorin, oxaliplatin.csv",41.9
18,"bevacizumab, fluorouracil, leucovorin, oxaliplatin",irinotecan,"bevacizumab, fluorouracil, irinotecan, leucovorin, oxaliplatin",4,1,5,"bevacizumab, fluorouracil, leucovorin, oxaliplatin + irinotecan.csv",42.1
19,bevacizumab,"fluorouracil, leucovorin","bevacizumab, fluorouracil, leucovorin",1,2,3,"bevacizumab + fluorouracil, leucovorin.csv",60.66666666666666
20,bevacizumab,"fluorouracil, leucovorin, oxaliplatin","bevacizumab, fluorouracil, leucovorin, oxaliplatin",1,3,4,"bevacizumab + fluorouracil, leucovorin, oxaliplatin.csv",77.86666666666666
21,bevacizumab,irinotecan,"bevacizumab, irinotecan",1,1,2,bevacizumab + irinotecan.csv,41.9
22,bevacizumab,tipiracil_trifluridine,"bevacizumab, tipiracil_trifluridine",1,1,2,bevacizumab + tipiracil_trifluridine.csv,28.5
23,capecitabine,"fluorouracil, leucovorin, oxaliplatin","capecitabine, fluorouracil, leucovorin, oxaliplatin",1,3,4,"capecitabine + fluorouracil, leucovorin, oxaliplatin.csv",77.86666666666666
