,combo,hsa_tmle r^2,hsa_js r^2,add_js r^2,hsa_tmle msd,hsa_js msd,add_js msd
0,Bevacizumab + capecitabine,0.9519218331979111,0.4311864021024645,0.7209176589888421,-0.02944557282086197,-0.18130684728446037,-0.06618248728446044
1,"Bevacizumab, capecitabine + fluorouracil, irinotecan, leucovorin",0.9433857427159698,0.7513670845484867,0.48399359820542376,0.005750831207921667,-0.08406383179456803,0.12333900820543185
2,"Bevacizumab, capecitabine, irinotecan + fluorouracil, leucovorin",0.8965322099326936,0.7390374914071164,0.6212839547630173,-0.025478097270439988,-0.08796067179456792,0.07226160820543191
3,"Bevacizumab, fluorouracil, irinotecan, leucovorin + capecitabine",0.8316909883788598,0.6679331810078796,0.6702681729940159,-0.030100115404761603,-0.10614067179456793,0.06530040820543191
4,"Bevacizumab + capecitabine, fluorouracil, leucovorin, oxaliplatin",0.8926396094601329,0.3712695893575375,0.5175605668281007,-0.02146925126834279,-0.15189283448973975,-0.07124663448973996
5,"Bevacizumab, capecitabine + fluorouracil, leucovorin, oxaliplatin",0.7618439824836498,0.7782783061437348,0.659904620093509,0.09474605187350726,-0.06852039376901924,0.06739424623098068
6,"Bevacizumab, capecitabine, oxaliplatin + fluorouracil, leucovorin",0.6296506928162136,0.9509108086172777,-0.2226782726294152,0.1338942702900561,0.02340877542077254,0.23336345542077241
7,"Bevacizumab, fluorouracil, leucovorin + capecitabine, oxaliplatin",0.8983614595607187,0.7413637873512298,0.7952014713186395,0.053481967033600246,-0.09795763448973994,-0.006613034489739994
8,"Bevacizumab, fluorouracil, leucovorin, oxaliplatin + capecitabine",0.8717257978653822,0.8940613294754747,0.5342840344493966,-0.020313426104453264,-0.020271554489739975,0.11841392551025991
9,"Bevacizumab, capecitabine + irinotecan",0.8434559716068445,0.7129349211982784,0.7834316820789852,0.05389356141655548,-0.09592648438957428,0.07976935561042564
10,"Bevacizumab, irinotecan + capecitabine",0.8912690016380496,0.2522215684449137,0.7750726694535721,0.0016402808539266814,-0.15926707976606289,0.04128352023393701
11,"Bevacizumab + capecitabine, oxaliplatin",0.8029639143880113,-0.7306025731962666,0.18728426611118787,-0.08667727255611168,-0.3212145442682449,-0.183158664268245
12,"Bevacizumab, irinotecan + fluorouracil",0.23784745780174865,0.32776131851944723,0.6097936787442247,0.07125284247235777,-0.1626188237839531,-0.012363463783953216
13,"Bevacizumab + fluorouracil, irinotecan, leucovorin",0.9414109914200053,0.3862992896529369,0.7594304315539718,-0.020243423892948656,-0.17380790865699156,-0.042983308656991674
14,"Bevacizumab, irinotecan + fluorouracil, leucovorin",0.9486788762485566,0.5175486928972581,0.673624062952044,-0.03788397401579982,-0.1514592520603342,0.07580130793966555
15,"Bevacizumab, fluorouracil, leucovorin + irinotecan",0.791699719559871,0.22558003910606717,0.6207805524558285,-0.09975793605270011,-0.20404633919393825,-0.07764353919393825
